source_row,关键词,关键词翻译,趋势,旺季,淡季,综合,月搜索量,月购买量,购买率,SPR,PPC竞价,AC推荐词,流量占比,流量词类型,首个ASIN自然排名,首个ASIN广告排名,预估周曝光量,相关产品,相关ASIN,ABA周排名,unnamed_21,unnamed_22,unnamed_23,unnamed_24,标题密度,商品数,供需比,广告竞品数,点击集中度,前三ASIN转化总占比,unnamed_31,建议竞价范围,#1_前三ASIN,#1_点击共享,#1_转化共享,#2_前三ASIN,#2_点击共享,#2_转化共享,#3_前三ASIN,#3_点击共享,#3_转化共享,前十ASIN
641,noco jump starter case,noco 启动器案例,,,,自然搜索词/品牌广告词,1150,95,0.0834,2,$0.81,1405449,,,,,0,138,8.33,4,0.9189,0.3333,,$0.62 - $1.01,B07C2VZGJY,0.4324,0,B07C2VH2MV,0.2973,0.3333,B0B64GH589,0.1892,0,"B07C2VZGJY,B07C2VH2MV,B0B64GH589,B09P9QGMSV,B09P9NYK7M,B07NRCDG31,B09P9JX6LY,B07C2TZPLG,B084QDHH6G,B0BV6Q17TZ",,,,,,,,
642,lithium battery tender,锂电池招标,,,,SP广告词,2061,95,0.0465,2,$8.73,964435,,,,,0,279,7.39,4,0.4629,0.3165,,$6.55 - $9.82,B06X9GGNZC,0.1791,0.1646,B000CITK8S,0.1723,0.038,B09XP77JCS,0.1115,0.1139,"B09XP77JCS,B06X9GGNZC,B000CITK8S,B07XMJDJX7,B08KVQD5LF,B00EDFPN1O,B07W46BX31,B01DYE5H9C,B07MCTXFC7,B07W6B987F",,,,,,,,
643,clore automotive jump-n-carry,clore 汽车跳-n-carry,,,,#REF!,2026,95,0.0469,2,$2.24,2177757,,,,,10,165,12.28,4,0.6402,0.5975,,$1.67 - $2.79,B000JFJLP6,0.3129,0.3247,B01GQDBNWS,0.2302,0.2338,B0872HHZQH,0.0971,0.039,"B000JFJLP6,B01GQDBNWS,B0872HHZQH,B000JFHMVG,B0753MF4Q8,B000KPU8F2,B000JFJLOM,B000JFHNQA,B015TKUPIC,B08HNJS93J",,,,,,,,
644,air pump and battery jumper combo,气泵和电池跳线组合,,,,1851.9584,1252,86,0.0688,2,2,1811579,,,,,0,182,6.88,3,0.342,0.5,,'-,B0CJJWJG6S,0.1842,0.5,B09G5WC4TD,0.0789,0,B09ZXSWTJQ,0.0789,0,"B0CJJWJG6S,B0CGJ5GZWM,B0BG2LDTM6,B083JQQTSQ,B0BN154Y71,B0C6DL51JQ,B09G5WC4TD,B09DP42JLP,B0CBLLTPVZ,B0BN77TKNT",,,,,,,,
645,stanley fat max,斯坦利脂肪最大,,,,SP广告词,1842,94,0.0515,2,$1.71,1443165,,,,,4,663,2.78,1,0.4918,0.5,,$0.86 - $2.06,B00002PV66,0.2295,0.25,B075MWVV4R,0.1475,0.125,B007I9S602,0.1148,0.125,"B075MWVV4R,B00002PV66,B007I9S602,B00OU67Z80,B00QZAGDTQ,B01MTVZCB1,B000051WTB,B00QZ9F9KG,B000VSKOWA,B00P4QIIRC",,,,,,,,
646,multi car charger adapter,多车充适配器,,,,品牌广告词,1762,94,0.0538,2,$1.44,1175725,,,,,0,2320,0.76,48,0.4814,0.2727,,$1.00 - $1.79,B07CM7PJQB,0.2037,0.0909,B0BTV92J2N,0.1667,0.1818,B09MT34T62,0.1111,0,"B0CC4LM6V1,B0BTV92J2N,B07CM7PJQB,B0CD4ZRS3N,B088FJDDZ5,B0BDZ6V1Y4,B0CCYKLJKK,B09MT34T62,B0CMZVXSWH,B07FDQLL7K",,,,,,,,
647,hard card case,硬卡盒,,,,SP广告词,1443,93,0.0649,2,$1.10,1215707,,,,,2,1218,1.18,58,0.4666,0.4167,,$0.75 - $1.51,B0B1HLMVFX,0.2444,0.0833,B095WM3M44,0.1111,0.1667,B09C1Y71RH,0.1111,0.1667,"B09KZNZ9F3,B095WM3M44,B004KHV24W,B000NZ16G4,B076V4V2QQ,B073G9MZSZ,B09JZDMMSN,B09C1Y71RH,B09L7YKFXT,B09THDJ2T1",,,,,,,,
648,cordless battery charger,无绳电池充电器,,,,#REF!,1391,93,0.0671,1,$2.05,2414606,,,,,0,2584,0.54,5,0.2599,0.3333,,$1.40 - $2.64,B015TKUPIC,0.1,0.3333,B09265SVN9,0.1,0,B0756PV96T,0.06,0,"B09265SVN9,B015TKUPIC,B0CDMKTVC9,B097D397M6,B0BZP6HCVS,B09ZTY3MHH,B00068XCQU,B0CDL2HLLG,B0BWJ1LQRK,B09DS1BXBF",,,,,,,,
649,noco boost gb70,诺科升压GB70,,,,自然搜索词/品牌广告词/视频广告词,1087,92,0.0854,2,$1.10,1614423,,,,,0,54,20.13,3,0.9411,1,,$0.82 - $1.37,B016UG6PWE,0.7941,1,B015TKUPIC,0.0882,0,B07C2VH2MV,0.0588,0,"B016UG6PWE,B07C2XLR3J,B07C2VH2MV,B08WYKD6TY,B015TKUPIC,B07MVY7K43,B015TKSSB8,B0CF931WTC,B07JWCDV7R,B0C42Y5TPD",,,,,,,,
650,gearwrench set,齿轮扳手套装,,,,SP广告词,3864,92,0.0239,2,$1.09,383948,,,,,0,1879,2.06,18,0.3637,0.1667,,$0.82 - $1.27,B07QLNVJJ1,0.2393,0.0417,B078Z31D32,0.077,0.125,B09CHJ5XZQ,0.0475,0,"B07QLNVJJ1,B08P2553RP,B009PJPH28,B009PJPGR4,B08P2634QG,B09CHJ5XZQ,B001M0O288,B07HBF2FF3,B08KHSYKQH,B08P29C21V",,,,,,,,
651,foam plyometric jump box,泡沫增强式跳箱,,,,SP广告词,1308,92,0.071,2,$0.77,1367754,,,,,8,112,11.68,,0.3903,0.5,,$0.58 - $0.98,B084NTG92Y,0.2439,0,B0CP54ZT9G,0.0732,0.5,B08SPSBR5X,0.0732,0,"B092ZWGCK2,B084NTG92Y,B07W4FVKDX,B0BZQYJ3Z9,B07HL5NTH2,B07XNY99P5,B09TGD26JZ,B0CP54ZT9G,B01MXVESO1,B0CL6DTX6H",,,,,,,,
652,car opener kit lockout,汽车开启器套件锁定,,,,SP广告词,2337,92,0.0395,2,$1.17,959526,,,,,0,103,22.69,17,0.388,0.1923,,$0.88 - $1.48,B0CB9WKCFH,0.2328,0.1731,B07751F8Y3,0.0836,0.0192,B0CQKV3SL5,0.0716,0,"B0CB9WKCFH,B0BTP5T48J,B07751F8Y3,B0CNCGS79X,B0CDGPQ3VD,B0CGJHRDXR,B0BRJPB7GB,B0CBLFHWTS,B07FQTZ8HR,B083H44VBH",,,,,,,,
653,auto tools,汽车工具,,,,自然搜索词,3508,92,0.0263,2,$0.20,476689,,,,,1,113688,0.03,12,0.1133,0.0834,,$0.18 - $0.21,B00Z9RSU9W,0.045,0.0417,B0CBLQB5BJ,0.0378,0,B0BLCH1HZL,0.0306,0.0417,"B0BLCH1HZL,B08ZMZV2WR,B0C48GV4FV,B0B6W1MRB2,B07Z3HB7DR,B00Z9RSU9W,B08YRLZCPJ,B0CFKRKMQJ,B0C86NSBDK,B0793HMWP1",,,,,,,,
654,noco lithium battery charger,noco锂电池充电器,,,0.0002,自然搜索词,2049,91,0.0445,2,$0.86,850623,,,,,0,332,6.17,17,0.4503,0.4865,,$0.64 - $1.08,B07W46BX31,0.1702,0.1351,B07W3QT226,0.156,0.1622,B07W8KJH44,0.1241,0.1892,"B07W3QT226,B07W46BX31,B07W8KJH44,B08G38VWQ6,B08G3STB1N,B08G3NVR1N,B07W6B987F,B08G3DLYX8,B08G3M697M,B08G3LLZ3D",,,,,,,,
655,car jumper and air compressor,汽车跳线和空气压缩机,"'=DISPIMG(""ID_CFDAAEAB283D419F87409D82DA8666FC"",1)",11-2,3-10,1745.79760273973,1841,71,0.039,1,$2.92,,0.0001,自然搜索词,57,,314,3,B0CGJ5GZWM/B09HJH1S41/B015TKUPIC,905394,,,,,9,870,7.04,9,0.4305,0.3077,,$0.60 - $0.99,B08843STJ1,0.167,0.1086,B000BPTUJ6,0.1379,0.0769,B0B3RT74RH,0.1257,0.1222,"B000BPTUJ6,B097RQ172D,B0B7B8X36S,B0B3RT74RH,B08843STJ1,B0BY4RD5RP,B0B2JZ927D,B08Y1L16V8,B09GNKS7KX,B07C723VDK"
656,12v battery box,12v电池盒,,,,SP广告词,4402,91,0.0207,2,$0.92,306874,,,,,2,15548,0.28,31,0.4399,0.4578,,$0.68 - $1.14,B001O0D6QK,0.1591,0.2651,B004W5SG6Y,0.1551,0.1325,B01AE2TG7G,0.1257,0.0602,"B004W5SG6Y,B004W5SGBO,B002WCUIC4,B01AE2TG7G,B09L87S74L,B000FZ4U5Q,B0C7QG9X9Y,B0B3W36S71,B09LTSNJTW,B004GH11MO",,,,,,,,
657,marine battery jump starter,船用电池跨接起动器,,,,#REF!,926,91,0.0992,2,$3.49,2277309,,,,,0,165,5.61,4,0.7142,0.8334,,$2.79 - $4.19,B015TKUPIC,0.5357,0.5,B08T637RW9,0.1071,0.1667,B08WZFPXFM,0.0714,0.1667,"B015TKUPIC,B08T637RW9,B016UG6PWE,B0924V8SPC,B015TKSSB8,B08CC1GYR1,B08NPGCFSG,B000JFJLP6,B07MVY7K43,B0C1SBXT8V",,,,,,,,
658,box jump box,框跳框,,,,视频广告词,1314,91,0.0696,2,$2.11,2104477,,,,,1,140,9.39,4,0.5349,0.3333,,$1.32 - $2.84,B0CBT1ZQ1P,0.2326,0,B092ZWGCK2,0.186,0,B073Z8DFL2,0.1163,0.3333,"B092ZWGCK2,B0CBT1ZQ1P,B073Z8DFL2,B084NTG92Y,B07YYZKCWR,B0C9M3V4DY,B0C6TC1DR8,B098HLB3CD,B09J1ZQPZC,B08BKSVVXK",,,,,,,,
659,nexpow car jump starter 5000a,,,,,#REF!,903,90,0.1004,2,$3.55,1614121,,,,,0,98,9.21,6,0.8518,1,,$2.91 - $4.03,B0BXXTVQSL,0.7037,1,B0BR57PDDY,0.0741,0,B0C5X8CVNJ,0.0741,0,"B0BXXTVQSL,B0CT8BK925,B082ZZ2W14,B0CLRSMCB7,B07X7YZYFV,B0CGJ5GZWM,B08NPGCFSG,B0C5X8CVNJ,B07T9S3Q5N,B0C7BS8P5Y",,,,,,,,
660,interstate batteries,州际电池,,,,SP广告词,1131,90,0.0798,2,$2.07,1431286,,,,,43,1034,1.09,,0.6251,0,,$1.35 - $2.36,B005CLPOQM,0.3438,0,B00QDC5PJ0,0.1563,0,B00074PKUE,0.125,0,"B00074PKUE,B00QDC0WPM,B000I19CPK,B00QDBWW9W,B005CLPOQM,B00QDBWV34,B000BPAGYY,B00QDC5PJ0,B00QDBZUVO,B004KNPIWS",,,,,,,,
661,cat cube lithium 4-in-1 portable jump starter,cat cube 锂电池四合一便携式启动器,,,,#REF!,974,90,0.093,2,,2175823,,,,,0,57,17.09,5,0.5,0,,'-,B0CQTQY5C3,0.2,0,B06XD6XBCM,0.1667,0,B088RMSXD1,0.1333,0,"B0CQTQY5C3,B09FJQ7F5R,B0CGJ5GZWM,B06XD6XBCM,B09G5WC4TD,B086VRNYMM,B08SGB4KLS,B0C3CTKNFY,B0CMJFZC1L,B0C4Y9NTQT",,,,,,,,
662,battery starter portable,电池启动器便携式,,,,#REF!,869,90,0.1039,2,$3.50,2169707,,,,,0,1219,0.71,17,0.4799,0.5,,$2.63 - $4.38,B015TKUPIC,0.28,0.25,B0C8HZF96X,0.12,0.25,B0C4XWBJKF,0.08,0,"B015TKUPIC,B087LRFYDB,B0C7BS8P5Y,B0C42Y5TPD,B09ZXSWTJQ,B0BQHNQH2K,B01D42TYFC,B0BZP6HCVS,B0C4Y9NTQT,B07X7YZYFV",,,,,,,,
663,lithium batteries 12v,锂电池12v,,,,SP广告词,6883,89,0.013,2,$3.86,90305,,,,,1,11086,0.62,,0.1712,0.129,,$3.10 - $4.94,B0CDGKBN2R,0.0712,0.0645,B0BVD2J4NM,0.0551,0.0645,B0CJY4413M,0.0449,0,"B09H3FG1D5,B09QKD4G6L,B0CLH2H7Z7,B0C3KXNJ4D,B0B7DTNZDW,B0CG1LQVLY,B08R6WRWQW,B0CJ8YH12Z,B0B78HTRDL,B09NB97XGL",,,,,,,,
664,jump boxes for vehicles,车辆跳箱,,,,#REF!,1443,89,0.0623,1,$3.25,1783495,,,,,0,544,2.65,30,0.4,0.1429,,$2.44 - $4.07,B015TKUPIC,0.22,0,B08T637RW9,0.1,0.1429,B000JFJLP6,0.08,0,"B000JFJLP6,B08T637RW9,B01GQDBNWS,B0CGDWPB1T,B0BZP6HCVS,B08NPC4VVR,B0B55RFM1Z,B002X6VXL4,B0C4XWBJKF,B0C4Y9NTQT",,,,,,,,
665,dewalt car battery charger,得伟汽车电池充电器,,,0.0001,品牌广告词/SP广告词,3846,88,0.023,2,$2.28,396025,,,,,0,387,9.94,26,0.5457,0.4223,,$1.85 - $2.77,B06XD6XBCM,0.2705,0.0889,B09Y718XFV,0.2093,0.1556,B09TBLZ4RV,0.066,0.1778,"B06XD6XBCM,B09Y718XFV,B086VRNYMM,B0B15CG5WM,B09Y7H556N,B09TBLZ4RV,B09Y6Y7JXM,B09Y78659L,B09TVQDZZ6,B09Y6YCLQM",,,,,,,,
666,car jumper and air compressor,汽车跳线和空气压缩机,,,0.0001,1745.79760273973,1841,71,0.039,1,$2.92,905394,,,,,0,586,3.14,9,0.3158,0.2,,$1.94 - $4.23,B0CGJ5GZWM,0.1404,0,B002X6VXL4,0.0877,0.2,B09B73SX6S,0.0877,0,"B0CGJ5GZWM,B0CF9G1354,B0CJJWJG6S,B0CLRSMCB7,B09FJQ7F5R,B09G5WC4TD,B002X6VXL4,B0BXWY4KPG,B09B73SX6S,B0C85K846C",,,,,,,,
667,emergency kit car,应急包车,,,,SP广告词,995,88,0.0886,2,$1.19,1526967,,,,,0,9386,0.11,4,0.3546,0,,$0.88 - $1.53,B07FT6R38V,0.129,0,B09QXJF7C5,0.129,0,B01C96AFWU,0.0968,0,"B09QXJF7C5,B09KRB9JSJ,B07FT6R38V,B07BR7Q4RG,B08RS888RH,B087PV7LXQ,B09V2MNKKL,B0B6BM4LSF,B01C96AFWU,B0BXGKSJKT",,,,,,,,
668,dewalt jump pack,得伟跳跃包,,,,自然搜索词,1181,88,0.0753,2,$2.74,1822710,,,,,0,174,6.79,14,0.7813,1,,$2.05 - $3.43,B086VRNYMM,0.375,0,B09Y78659L,0.2188,0,B06XD6XBCM,0.1875,1,"B06XD6XBCM,B086VRNYMM,B09Y78659L,B09Y6YCLQM,B07QR1CVRF,B09Y718XFV,B07H39S9JQ,B09Y7H556N,B09HJH1S41,B0CM3PWFNM",,,,,,,,
669,battery jump starter with air compressor,带空气压缩机的电池跨接起动器,"'=DISPIMG(""ID_6367C3ADD084468CB4269444D5C10FA1"",1)",8-1,2-7,1675.13345177665,977,81,0.0834,2,$1.97,,,自然搜索词/视频广告词,43,52,0,6,B0CGJ5GZWM/B087LRFYDB/B09HJH1S41/B0C7BS8P5Y/B08NPGCFSG/B015TKUPIC,1814294,,,,,6,768,3.15,23,0.563,0.5428,,$0.67 - $1.28,B07GLV6GVH,0.3361,0.419,B0C24SRZ8V,0.1317,0.1048,B0BDZYCZRG,0.0952,0.019,"B07GLV6GVH,B08WWKQFSV,B07FBMYKJY,B076DJ1SRS,B08N5VCDR3,B0C24SRZ8V,B07JQH8YPF,B08CDQ74QY,B0CC4C3Q7L,B07BP9283K"
670,booster cables,增压电缆,,,0.0002,#REF!,2950,87,0.0296,2,$2.80,755397,,,,,13,887,3.33,20,0.4368,0.4,,$2.50 - $3.17,B079LHNH8D,0.2748,0.2625,B015TKUPIC,0.0878,0.0125,B08MKZ6PPL,0.0743,0.125,"B079LHNH8D,B07MWL3YR2,B00F9RNIPI,B073VHBRFC,B0CH19HH3M,B0969KT75Q,B09ZYT2H5P,B07YQND9SD,B08MKZ6PPL,B08LW5HFPL",,,,,,,,
671,motorcycle jump starter portable,摩托车启动器便携,,,,#REF!,947,87,0.0926,2,$2.50,2068358,,,,,0,429,2.21,4,0.6552,0.6,,$1.58 - $5.02,B015TKPT1A,0.2414,0.2,B0C8HZF96X,0.2069,0.3,B015TKUPIC,0.2069,0.1,"B09W2GVWKM,B0BNVLL6MJ,B015TKUPIC,B0C8HZF96X,B015TKPT1A,B0CB115FVP,B0BG2LDTM6,B0B28PFSN8,B0BZP6HCVS,B08CC1GYR1",,,,,,,,
672,battery jump starter with air compressor,带空气压缩机的电池跨接起动器,,,,1675.13345177665,977,81,0.0834,2,$1.97,1814294,,,,,1,398,2.45,15,0.4,0.6666,,$0.96 - $3.95,B0CGJ5GZWM,0.1667,0.3333,B06XD6XBCM,0.1333,0.3333,B002X6VXL4,0.1,0,"B0CGJ5GZWM,B002X6VXL4,B09FJQ7F5R,B06XD6XBCM,B00RZXVQSU,B0CLL149DM,B0CF9G1354,B0CMJFZC1L,B0CHNRMZ27,B0BXWY4KPG",,,,,,,,
673,car battery jump box,汽车电瓶跳箱,,,,#REF!,1934,87,0.045,1,$3.34,2327088,,,,,0,723,2.67,13,0.3801,0.3636,,$2.80 - $4.11,B015TKUPIC,0.1408,0.1818,B09F9CR89W,0.1268,0.0909,B016UG6PWE,0.1127,0.0909,"B000JFJLP6,B09F9CR89W,B002X6VXL4,B0C7BS8P5Y,B0CH9LFCZ4,B0C4XWBJKF,B01GQDBNWS,B0BZP6HCVS,B0CCDJS5GH,B015TKUPIC",,,,,,,,
674,jump start cable,快速启动电缆,,,,#REF!,1401,86,0.0619,2,$2.63,1463996,,,,,0,743,1.89,4,0.7907,0.4545,,$1.97 - $3.28,B079LHNH8D,0.5814,0.1818,B0969KT75Q,0.1628,0.2727,B015TKUPIC,0.0465,0,"B079LHNH8D,B0969KT75Q,B00SAT6Y08,B073VHBRFC,B08MKZ6PPL,B08LW5HFPL,B074DMCRNF,B08T6KPF2F,B09521G73B,B08NVK6VKZ",,,,,,,,
675,car battery charger and tire inflator,汽车电池充电器和轮胎打气机,,,,1492.06365,867,77,0.0894,2,2,1923387,,,,,0,602,1.44,12,0.5199,0,,'-,B0CJJWJG6S,0.44,0,B002X6VXL4,0.04,0,B07MKSP49L,0.04,0,"B0BXWY4KPG,B0CJJWJG6S,B09FJQ7F5R,B09G5WC4TD,B0CLL149DM,B0CJR6LSYY,B0CLRSMCB7,B0BNBDXQF8,B0BN77TKNT,B09DP42JLP",,,,,,,,
676,avapow 6000a,avapow 6000a,,,0.0004,自然搜索词/视频广告词,2111,85,0.0406,2,$6.51,587691,,,,,2,56,37.7,4,0.7534,0.8572,,$4.88 - $8.14,B08NPGCFSG,0.5777,0.6667,B0CDPNY5NF,0.1318,0.1905,B0BJ5N8SN7,0.0439,0,"B08NPGCFSG,B0CDPNY5NF,B0928VN98C,B0BJ5N8SN7,B0C4Y9NTQT,B08NPC4VVR,B0CFTS22D4,B0BXT1W7JX,B0B7CXJSJG,B08T637RW9",,,,,,,,
677,jump cable for car,汽车跳线,,,0.0001,#REF!,1480,85,0.0577,2,$2.80,896332,,,,,0,1483,1,4,0.5909,0.5,,$2.10 - $3.50,B015TKUPIC,0.3182,0.125,B079LHNH8D,0.1818,0.25,B00SAT6Y08,0.0909,0.125,"B079LHNH8D,B0969KT75Q,B08LW5HFPL,B00SAT6Y08,B07MWL3YR2,B08T6KPF2F,B07Z1D26CS,B015TKUPIC,B0CN9243NQ,B0CPKS84P3",,,,,,,,
678,portable,便携式,,,,自然搜索词,11662,85,0.0073,2,$2.82,149693,,,,,48,86259,0.14,379,0.1286,0.1452,,$2.11 - $3.32,B0B9NNWXVP,0.0575,0.0323,B07XFBN7HX,0.0379,0.1129,B0BX3SLQXM,0.0332,0,"B005K6JQXQ,B0CHB1XMS2,B09CV3NHDL,B0C6XJNKP8,B0B9NNWXVP,B07XFBN7HX,B0C3RB2V9Y,B0CNGD58RL,B07CZDXDG8,B0CF3WGHWN",,,,,,,,
679,noco gbx,诺科gbx,,,,自然搜索词,1409,85,0.061,2,$0.75,2136463,,,,,0,50,28.18,10,0.8572,0.5,,$0.56 - $0.94,B08WZKRHZZ,0.381,0.3333,B0924V8SPC,0.2857,0.1667,B08WYKD6TY,0.1905,0,"B08WYKD6TY,B0924V8SPC,B08WZKRHZZ,B08WZFPXFM,B09P9JX6LY,B09P9XZC6D,B015TKUPIC,B09P9NYK7M,B09P9QGMSV,B09P9ZM86Q",,,,,,,,
680,battery jumper pack,电池跳线组,,,,#REF!,977,85,0.0873,2,$5.84,2036710,,,,,0,797,1.23,6,0.5666,0.375,,$4.38 - $7.30,B015TKUPIC,0.2667,0.125,B000JFJLP6,0.1667,0.25,B016UG6PWE,0.1333,0,"B000JFJLP6,B0BQHNQH2K,B0CH9LFCZ4,B015TKUPIC,B07X7YZYFV,B002X6VXL4,B06XD6XBCM,B0C1SBXT8V,B0CGDWPB1T,B09LH5SL12",,,,,,,,
681,compact jump starter,紧凑型起跳器,,,,#REF!,954,84,0.0886,2,$3.23,1258543,,,,,1,575,1.66,4,0.4826,0.3333,,$2.77 - $3.64,B015TKUPIC,0.2069,0.3333,B0C42Y5TPD,0.1724,0,B0BVMH641H,0.1034,0,"B08GYFP5JK,B08NPC4VVR,B09LH5SL12,B0BVMH641H,B0C7BS8P5Y,B015TKUPIC,B09Z3W6DZV,B0C8HZF96X,B09XSD8LGC,B087LRFYDB",,,,,,,,
682,ajj,ajj,,,,SP广告词,1699,84,0.0498,2,$2.11,1591662,,,,,2,800,2.12,3,0.5097,0,,$1.59 - $2.65,B01BWPWP4A,0.3529,0,B002G3JKAU,0.0784,0,B0C4WLBH15,0.0784,0,"B0BT6CV4S4,B082BYQWHZ,B01H77QU9I,B07FVFD6GX,B00IY28Y4K,B095MTFGTH,B000SFK0F2,B06ZY61564,B09992RKS3,B002G3JKAU",,,,,,,,
683,diesel engine,柴油机,,,0.0001,自然搜索词,22002,83,0.0038,2,$1.50,84781,,,,,15,23994,0.92,22,0.3973,0.3912,,$1.12 - $1.87,B0C6XBPKRK,0.1914,0.1304,B0CRRSPDGL,0.1365,0.1304,B0C53MCYRG,0.0695,0.1304,"B0CRRSPDGL,B0CNCQFB8D,B0C6XBPKRK,B09GTKMG2F,B0CB3R758H,B0040ZWU18,B07G7GGFV6,B0CM37Q6PZ,B0CKP899P8,B09CYJQBFD",,,,,,,,
684,jumper box with air compressor,带空气压缩机的跳线盒,"'=DISPIMG(""ID_8AB3C4B996B049E1B1EC4A2C64E7D75F"",1)",10-2,3-9,1424.03359550562,991,87,0.0882,2,$2.67,,,视频广告词,,53,0,3,B0CGJ5GZWM/B084YQSVZ6/B015TKUPIC,2196565,,,,,0,402,85.69,37,0.3043,0.1906,,$1.01 - $1.74,B01L9WSTEG,0.1162,0.0864,B07QR4Q42L,0.0946,0.057,B07MKSP49L,0.0935,0.0472,"B01L9WSTEG,B0C4GZMKXZ,B0C6GS6JR3,B097DR4J94,B07H39S9JQ,B07MKSP49L,B074X4XFGS,B08XJ6LFS8,B07VMM69N9,B07G6RB3FT"
685,auto emergency kits for vehicles,汽车应急包,,,0.0001,自然搜索词/品牌广告词/视频广告词,2273,83,0.0366,2,,972396,,,,,0,946,2.4,9,0.4099,0.2692,,'-,B01C96AFWU,0.1774,0.1538,B07XKGWNP8,0.1346,0.0769,B07FT6R38V,0.0979,0.0385,"B08RS888RH,B08R9N268Z,B01C96AFWU,B07XKGWNP8,B0BWYG86KF,B09KRB9JSJ,B07FT6R38V,B004C16S0O,B07PPD6ZKV,B07BR7Q4RG",,,,,,,,
686,vector,向量,,,,SP广告词,7265,83,0.0115,2,$1.77,199738,,,,,42,1954,3.72,20,0.4165,0.4898,,$0.92 - $2.33,B07JN63NFP,0.1987,0,B07G3ZNK4Y,0.1486,0,B01KE1KM52,0.0692,0.4898,"B09NS18PQV,B09NRZKCKW,B09NRZPHRH,B01COSS83Q,B00821R2WI,B077H5VMGL,B09M7Q28XT,B077H4VGJJ,B004IATD7E,B001CZH8B6",,,,,,,,
687,beatit jump starter,跳跃式启动器,,,,#REF!,1607,83,0.052,2,$5.59,1675500,,,,,0,155,10.37,5,0.4199,0.2858,,$4.19 - $6.98,B0BPWZKFVV,0.22,0,B0B55RFM1Z,0.12,0.1429,B09ZXSWTJQ,0.08,0.1429,"B08NPHZV8N,B08G4RWQF9,B0B55RFM1Z,B015TKUPIC,B0CGJ5GZWM,B0C4Y9NTQT,B0C7BS8P5Y,B0BX9D63W9,B082ZZ2W14,B0C8HZF96X",,,,,,,,
688,car battery jumper,汽车电池跳线,,,0.0019,#REF!,6306,82,0.0131,2,$3.26,268623,,,,,5,823,7.66,8,0.4444,0.3511,,$2.45 - $4.09,B015TKUPIC,0.2502,0.2082,B09F9CR89W,0.1137,0.0735,B09LH5SL12,0.0807,0.0694,"B09F9CR89W,B07Z1D26CS,B09LH5SL12,B000JFJLP6,B015TKUPIC,B087LRFYDB,B002X6VXL4,B09W5SFK6L,B0CGDWPB1T,B0BQHNQH2K",,,,,,,,
689,automotive replacement starter starters,汽车更换启动器,,,,#REF!,5126,82,0.0161,2,,317894,,,,,0,11869,0.43,3,0.0333,0.0208,,'-,B007Y85G5K,0.014,0,B08WRBDXGV,0.0097,0.0208,B0081SB278,0.0097,0,"B0C9HPCHPN,B00T6885ZE,B01MCZLG3O,B01L2RNVEG,B07Z9JSQ9W,B01L2RZRYS,B0B511G14T,B0BBC1MYKZ,B07MD5P3LS,B00R1FDN4W",,,,,,,,
690,power converter,电源转换器,,,,SP广告词,5805,82,0.0142,2,$1.84,230622,,,,,6,61956,0.09,197,0.2567,0.1984,,$1.37 - $2.29,B07DQTL87X,0.1134,0.0873,B07R2JMHQR,0.1056,0.0794,B01MSBC5LM,0.0378,0.0317,"B07R2JMHQR,B01MSBC5LM,B07DQTL87X,B07Z46413P,B0B9QPTWHT,B073J9QWKY,B07GYM7L6K,B01E140XWA,B07K25F64S,B07KXB5J35",,,,,,,,
691,small battery box,小电池盒,,,,自然搜索词,3156,82,0.0262,2,$0.49,394867,,,,,0,15722,0.2,23,0.3722,0.2885,,$0.37 - $0.61,B002WCUIC4,0.1534,0.1346,B001GN6QTE,0.1329,0.0962,B0000B12YQ,0.0859,0.0577,"B001GN6QTE,B002WCUIC4,B0000B12YQ,B07RC83LTZ,B09L2WFQVZ,B00EOX2QJC,B004W5SG6Y,B07914Z3FZ,B003US4L4K,B01K61E9AO",,,,,,,,
692,noco gb70 case,noco gb70 案例,,,,品牌广告词,1103,82,0.075,2,$0.75,1375912,,,,,0,39,28.28,4,0.9164,0.7334,,$0.56 - $0.94,B07C2VH2MV,0.6389,0.6667,B071VM23HQ,0.1944,0.0667,B0CNYKB1HB,0.0833,0,"B07C2VH2MV,B071VM23HQ,B07BS4KWF5,B0CNYKB1HB,B016UG6PWE,B07C2VZGJY,B09P9NYK7M,B07NRCDG31,B0CHP6SMVH,B09P9JX6LY",,,,,,,,
693,battery jump box portable,便携式电池跳线盒,,,,#REF!,936,82,0.0878,2,$3.28,2036709,,,,,0,638,1.47,4,0.3212,0.4,,$2.83 - $4.21,B015TKUPIC,0.1786,0.2,B09W5SFK6L,0.0714,0.2,B000JFJLP6,0.0714,0,"B015TKUPIC,B000JFJLP6,B0BX9D63W9,B0C4Y9NTQT,B09ZXSWTJQ,B016UG6PWE,B0C1SBXT8V,B002X6VXL4,B0CGCRHS2Z,B09LH5SL12",,,,,,,,
694,jumper box with air compressor,带空气压缩机的跳线盒,,,,1424.03359550562,991,87,0.0882,2,$2.67,2196565,,,,,0,309,3.21,20,0.3871,0.25,,$1.78 - $3.00,B0CJJWJG6S,0.1613,0,B002X6VXL4,0.129,0,B09G5WC4TD,0.0968,0.25,"B0CF9G1354,B002X6VXL4,B0CJJWJG6S,B09FJQ7F5R,B09G5WC4TD,B0CGJ5GZWM,B0C85K846C,B0CJJMLZ82,B0BN77TKNT,B0CF1N8K1C",,,,,,,,
